Time; Position; Velocity; Acceleration
0;10;0;0
0,02;10;0;0
0,04;10;0;0
0,06;10;0;0
0,08;10;0;0
0,09999999;10;0;0
0,12;10;0;0
0,14;10;0;0
0,16;10;0;0
0,18;10;0;0
0,2;10;0;0
0,22;10;0;0
0,24;10;0;0
0,26;10;0;0
0,28;10;0;0
0,3;10;0;0
0,32;10;0;0
0,34;10;0;0
0,36;10;0;0
0,38;10;0;0
0,4;10;0;0
0,42;10;0;0
0,4400001;10;0;0
0,4600001;10;0;0
0,4800001;10;0;0
0,5000001;10;0;0
0,52;10;0;0
0,54;10;0;0
0,56;10;0;0
0,58;10;0;0
0,6;10;0;0
0,6199999;10;0;0
0,6399999;10;0;0
0,6599999;10;0;0
0,6799999;10;0;0
0,6999999;10;0;0
0,7199998;10;0;0
0,7399998;10;0;0
0,7599998;10;0;0
0,7799998;10;0;0
0,7999998;10;0;0
0,8199998;10;0;0
0,8399997;10;0;0
0,8599997;10;0;0
0,8799997;10;0;0
0,8999997;10;0;0
0,9199997;10;0;0
0,9399996;10;0;0
0,9599996;10;0;0
0,9799996;10;0;0
0,9999996;10;0;0
1,02;10;0;0
1,04;10;0;0
1,06;10;0;0
1,08;10;0;0
1,1;10;0;0
1,12;10;0;0
1,14;10;0;0
1,159999;10;0;0
1,179999;9,997548;-0,1962;-0,04905
1,199999;9,991172;-0,3924;-0,04905
1,219999;9,980871;-0,5886;-0,04905
1,239999;9,966647;-0,7847999;-0,04905
1,259999;9,953403;-0,9319499;-0,04905
1,279999;9,932312;-1,12815;-0,04905
1,299999;9,90043;-1,3734;-0,04905
1,319999;9,878357;-1,52055;-0,04905
1,339999;9,845493;-1,716749;-0,04905
1,359999;9,808706;-1,912949;-0,04905
1,379999;9,757203;-2,1582;-0,04905
1,399999;9,723358;-2,30535;-0,04905
1,419999;9,662046;-2,5506;-0,04905
1,439999;9,622315;-2,697751;-0,04905
1,459999;9,551193;-2,943001;-0,04905
1,479999;9,505577;-3,090151;-0,04905
1,499999;9,424644;-3,335402;-0,04905
1,519999;9,373142;-3,482552;-0,04905
1,539999;9,301039;-3,678752;-0,04905
1,559999;9,225011;-3,874953;-0,04905
1,579999;9,14506;-4,071153;-0,04905
1,599999;9,039602;-4,316402;-0,04905
1,619999;8,950821;-4,512601;-0,04905
1,639999;8,858116;-4,708801;-0,04905
1,659999;8,786013;-4,85595;-0,04905
1,679999;8,660935;-5,1012;-0,04905
1,699999;8,556459;-5,297399;-0,04905
1,719999;8,448059;-5,493598;-0,04905
1,739999;8,335734;-5,689798;-0,04905
1,759999;8,248917;-5,836947;-0,04905
1,779999;8,099314;-6,082197;-0,04905
1,799999;8,006609;-6,229346;-0,04905
1,819999;7,847197;-6,474596;-0,04905
1,839999;7,715252;-6,670795;-0,04905
1,859999;7,613719;-6,817945;-0,04905
1,879999;7,474907;-7,014144;-0,04905
1,899999;7,295875;-7,259393;-0,04905
1,919999;7,185513;-7,406543;-0,04905
1,939999;6,99667;-7,651792;-0,04905
1,959999;6,841182;-7,847991;-0,04905
1,979999;6,721991;-7,995141;-0,04905
1,999999;6,518434;-8,240393;-0,04905
2,019999;6,351173;-8,436594;-0,04905
2,039999;6,223153;-8,583745;-0,04905
